Structure: Image,SMILES,Substance Identification: Reaxys Registry Number,Links to Reaxys,Data Count,CAS Registry Number,Chemical Name,Linear Structure Formula,Molecular Formula,Molecular Weight,Type of Substance,Type and Modification,InChI Key,Composition: Comp. Name,Composition: Comp. Conc.,Composition: Comp. Attrib.,Field Availability,Number of Reactions,Number of References,Melting Point: Melting Point [C],Solvent (Melting Point),Location,Comment (Melting Point),Crystallizes With,Amount (Melting Point) [mol],References,Links to Reaxys.1
,[18OH2],5915825.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D5915825&database=RX&origin=ReaxysOutput&ln=,(38 of 4000),14797-71-8,18O-water; water-18O; water; H2[18]O; H2O; 18O-labeled water; H2O18,(18)OH2,H2O,20.0159,Isotope or isotope containing compound,,XLYOFNOQVPJJNP-NJFSPNSNSA-N,,,,Identification(21); Physical Data(296); Spectra(46),751.0,750.0,0.26 - 0.3,,,,,,"Article; Steckel, F.; Szapiro, S.; Transactions of the Faraday Society; vol. 59; (1963); p. 331 - 343;; ; Article; Gmelin Handbuch der Anorganischen Chemie; vol. O: MVol.6; 77, page 2034 - 2035; (from Gmelin)",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D7264184&database=RX&origin=ReaxysOutput&ln=
,[2H][18O][2H],12873769.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D12873769&database=RX&origin=ReaxysOutput&ln=,(41 of 4000),14674-67-0,water,D2(18)O,H2O,22.0,Isotope or isotope containing compound,,XLYOFNOQVPJJNP-LAPWFLRPSA-N,,,,Identification(5); Physical Data(20); Spectra(9),22.0,41.0,4 - 4.04,,,,,,"Article; Lewis, G. N.; Macdonald, R. T.; Journal of the American Chemical Society; vol. 55; (1933); p. 3057 - 3059;; ; Article; Gmelin Handbuch der Anorganischen Chemie; vol. O: MVol.6; 50, page 1922 - 1925; (from Gmelin)",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D7238805&database=RX&origin=ReaxysOutput&ln=
,[Li+].[Li]N.[H][B-]([H])([H])[H],17965747.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D17965747&database=RX&origin=ReaxysOutput&ln=,(42 of 4000),,"(LiNH2)0.50(LiBH4)0.50, β",0.50(LiNH2)*0.50Li(1+)*0.50BH4(1-)=(LiNH2)0.50(LiBH4)050,0BH4*0H2LiN*0Li,22.3737,Coordination compound,.beta.,WKUWFSZMZYICJB-UHFFFAOYSA-N,,,,Identification(7); Physical Data(5),3.0,1.0,75 - 90,,,,,,"Article; Meisner, Gregory P.; Scullin, Matthew L.; Balogh, Michael P.; Pinkerton, Frederick E.; Meyer, Martin S.; Journal of Physical Chemistry B; vol. 110; 9; (2006); p. 4186 - 4192; (from Gmelin)",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D8542432&database=RX&origin=ReaxysOutput&ln=
,[H].[H].[Li].B.N,17965580.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D17965580&database=RX&origin=ReaxysOutput&ln=,(44 of 4000),,"B0.33H2.67LiN0.67, α",LiB0.33N0.67H2.67,B0H2LiN0,22.5843,,.alpha.,WXZSRFLGGKVZCM-UHFFFAOYSA-N,,,,Identification(5); Physical Data(5),6.0,2.0,150 - 190,,,,,,"Article; Meisner, Gregory P.; Scullin, Matthew L.; Balogh, Michael P.; Pinkerton, Frederick E.; Meyer, Martin S.; Journal of Physical Chemistry B; vol. 110; 9; (2006); p. 4186 - 4192; (from Gmelin)",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D8542432&database=RX&origin=ReaxysOutput&ln=
,[H].[Li].O,8136594.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D8136594&database=RX&origin=ReaxysOutput&ln=,(47 of 4000),1310-65-2,lithium hydroxide; lithium hydroxide monohydrate,Li(1+)*HO(1-),HLiO,23.9483,Isotope or isotope containing compound,,OTHWEXVONSUYDI-UHFFFAOYSA-N,,,,Identification(3491); Physical Data(242); Spectra(34); Bioactivity(257),2089.0,5114.0,477,,,,,,"Article; Xiang, Donghu; Zhu, Yabo; He, Zhanjun; Liu, Zhangsheng; Luo, Jin; Materials Research Bulletin; vol. 48; 2; (2013); p. 188 - 193;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D35447234&database=RX&origin=ReaxysOutput&ln=
,[3H][18O][3H],16797063.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D16797063&database=RX&origin=ReaxysOutput&ln=,(49 of 4000),53774-37-1,water,(3)H2(18)O,H2O,24.0,Isotope or isotope containing compound,,XLYOFNOQVPJJNP-HHVGBVTOSA-N,,,,Identification(5); Physical Data(6); Spectra(2),1.0,4.0,8 - 10,,,,,,"Article; Fricman, E. Ch.; vol. 26; 1; (1937); p. 34 - 40; C. II; (1937); p. 2633;; ; Article; Gmelin Handbuch der Anorganischen Chemie; vol. O: MVol.6; 84, page 2052 - 2054; (from Gmelin)",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D7218193&database=RX&origin=ReaxysOutput&ln=
,C#C,906677.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D906677&database=RX&origin=ReaxysOutput&ln=,(50 of 4000),74-86-2,acetylene; ethyne,H2C2,C2H2,26.0379,acyclic,,HSFWRNGVRCDJHI-UHFFFAOYSA-N,,,,Identification(17443); Physical Data(1732); Spectra(295); Bioactivity(1370),10806.0,27350.0,-84,,,,,,Article; Makitra et al.; Soviet progress in chemistry; vol. 45; 11; (1979); p. 70; Ukrainskii Khimicheskii Zhurnal (Russian Edition); vol. 45; 11; (1979); p. 1089;,https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D4116514&database=RX&origin=ReaxysOutput&ln=
,[H]O[H].[H]N([H])[H],15998734.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D15998734&database=RX&origin=ReaxysOutput&ln=,(51 of 4000),,,NH3*0.5H2O,0H2O*H3N,26.0382,Isotope or isotope containing compound,,VHUUQVKOLVNVRT-UHFFFAOYSA-N,,,,Identification(5); Physical Data(4); Spectra(1),,6.0,-78.8,,,,,,"Article; Smits, A.; Postma, S.; Verslag van de Gewone Vergadering van de Afdeling Natuurkunde, Koninklijke Nederlandse Akademie van Wetenschappen; vol. 23; (1914); p. 110 - 111;; ; Article; Gmelin Handbuch der Anorganischen Chemie; vol. NH4: MVol.1; 2.1, page 42 - 52; (from Gmelin)",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D7263094&database=RX&origin=ReaxysOutput&ln=
,C#N,1718793.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D1718793&database=RX&origin=ReaxysOutput&ln=,(52 of 4000),74-90-8,hydrogen cyanide; hydrocyanic acid,(HCN),CHN,27.0256,acyclic; Isotope or isotope containing compound,,LELOWRISYMNNSU-UHFFFAOYSA-N,,,,Identification(1094); Physical Data(1609); Spectra(326); Bioactivity(469),7375.0,9163.0,-13,,supporting information,,,,"Article; Bläsing, Kevin; Bresien, Jonas; Labbow, René; Schulz, Axel; Villinger, Alexander; Angewandte Chemie - International Edition; vol. 57; 29; (2018); p. 9170 - 9175; Angew. Chem.; vol. 130; (2018); p. 9311 - 9316,6;; ; Article; Beer, Henrik; Bläsing, Kevin; Bresien, Jonas; Chojetzki, Lukas; Schulz, Axel; Stoer, Philip; Villinger, Alexander; Dalton Transactions; vol. 49; 39; (2020); p. 13655 - 13662;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D74397651&database=RX&origin=ReaxysOutput&ln=
,[H]C#N,15963609.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D15963609&database=RX&origin=ReaxysOutput&ln=,(53 of 4000),74-90-8,"hydrogen cyanide; hydrogen cyanide CHN, high pressure, tetragonal",HCN,CHN,27.0256,,"high pressure, tetragonal",LELOWRISYMNNSU-UHFFFAOYSA-N,,,,Identification(5); Physical Data(1); Spectra(1),,1.0,25,,,1.5E+06 Torr,,,"Article; Aoki, K.; Baer, B. J.; Cynn, H. C.; Nicol, M.; Physical Review B: Condensed Matter and Materials Physics; vol. 42; (1990); p. 4298 - 4303; (from Gmelin)",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D7596120&database=RX&origin=ReaxysOutput&ln=
,N#N,3535119.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D3535119&database=RX&origin=ReaxysOutput&ln=,(56 of 4000),7727-37-9,nitrogen,N2,N2,28.0134,Isotope or isotope containing compound,,IJGRMHOSHXDMSA-UHFFFAOYSA-N,,,,Identification(58640); Physical Data(55748); Spectra(175); Bioactivity(5023),8377.0,100238.0,-229.15 - -228.15,,,,,,"Article; Morishige, Kunimitsu; Kawano, Keizi; Journal of Physical Chemistry B; vol. 104; 13; (2000); p. 2894 - 2900; (from Gmelin)",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D6231093&database=RX&origin=ReaxysOutput&ln=
,[2H]C#N,1719340.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D1719340&database=RX&origin=ReaxysOutput&ln=,(58 of 4000),3017-23-0,hydrogen cyanide,DCN,CHN,28.0177,acyclic; Isotope or isotope containing compound,,LELOWRISYMNNSU-MICDWDOJSA-N,,,,Identification(14); Physical Data(71); Spectra(97),72.0,281.0,-13,,supporting information,,,,"Article; Bläsing, Kevin; Bresien, Jonas; Labbow, René; Schulz, Axel; Villinger, Alexander; Angewandte Chemie - International Edition; vol. 57; 29; (2018); p. 9170 - 9175; Angew. Chem.; vol. 130; (2018); p. 9311 - 9316,6;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D74397651&database=RX&origin=ReaxysOutput&ln=
,C=C,1730731.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D1730731&database=RX&origin=ReaxysOutput&ln=,(59 of 4000),74-85-1,ethene; ethylene,H2CCH2,C2H4,28.0538,acyclic; Isotope or isotope containing compound,,VGGSQFUCUMXWEO-UHFFFAOYSA-N,,,,Identification(48157); Physical Data(2697); Spectra(267); Bioactivity(3363),21771.0,66053.0,-169.1,,,,,,"Article; Golubev et al.; Journal of applied chemistry of the USSR; vol. 44; (1971); p. 1446,1447; Zhurnal Prikladnoi Khimii (Sankt-Peterburg, Russian Federation); vol. 44; (1971); p. 1424;; ; Patent; GENOMATICA, INC.; WO2009/45637; (2009); A2;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D4531441&database=RX&origin=ReaxysOutput&ln=
,[N]=O,3587257.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D3587257&database=RX&origin=ReaxysOutput&ln=,(60 of 4000),10102-43-9,nitrogen(II) oxide; nitrogen mono-oxide; nitrogen monoxide; nitrogen oxide; NO radical,NO,NO,30.0061,Isotope or isotope containing compound,,MWUXSHHQAYIFBG-UHFFFAOYSA-N,,,,Identification(12146); Physical Data(2757); Spectra(344); Bioactivity(1180),5028.0,20879.0,-163.7,,,,,,Article; Kafarov; Dorokhov; Vetokhin; Volkov; Doklady. Chemical technology; vol. 304-6; (1989); p. 65 - 68; (from Gmelin),https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D7328832&database=RX&origin=ReaxysOutput&ln=
,C=O,1209228.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D1209228&database=RX&origin=ReaxysOutput&ln=,(61 of 4000),50-00-0,formaldehyd; paraformaldehyd,OCH2,CH2O,30.0263,acyclic,,WSFSSNUMVMOOMR-UHFFFAOYSA-N,,,,Identification(6727); Physical Data(689); Spectra(212); Bioactivity(3622),122666.0,62187.0,-118.3 - -117.8,,,,,,Article; Spence; Wild; Journal of the Chemical Society; (1935); p. 508;,https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D1387718&database=RX&origin=ReaxysOutput&ln=
,[2H]C([2H])=C,1731247.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D1731247&database=RX&origin=ReaxysOutput&ln=,(62 of 4000),6755-54-0,"ethylene-1,1-d2; 1,1-dideuteroethylene; gem-dideuteroethylene; gem-1,1-ethylene-d2; 1,1-dideuterio-ethene; 1,1-Dideuterio-aethen; Aethylen-1.1-d2; 1,1-Dideuterio-aethylen; 1.1-Dideutero-aethylen; ethene-1,1-d2",CH2C(2)H2,C2H4,30.0379,acyclic,,VGGSQFUCUMXWEO-DICFDUPASA-N,,,,Identification(13); Physical Data(33); Spectra(37),71.0,136.0,-168.59,,,,,,Article; Kruis; Zeitschrift fur Naturforschung; vol. 3a; (1948); p. 597; Naturwissenschaften; vol. 35; (1948); p. 155;,https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D1342529&database=RX&origin=ReaxysOutput&ln=
,CC,1730716.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D1730716&database=RX&origin=ReaxysOutput&ln=,(63 of 4000),74-84-0,ethane; R170,CH3CH3,C2H6,30.0696,acyclic; Isotope or isotope containing compound,,OTMSDBZUPAUEDD-UHFFFAOYSA-N,,,,Identification(19760); Physical Data(2353); Spectra(177); Bioactivity(1386),4008.0,26627.0,-182.78,,,,,,Article; Givens; McCormick; Journal of Chemical Physics; vol. 67; (1977); p. 1150;,https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D4234133&database=RX&origin=ReaxysOutput&ln=
,B.N,13331145.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D13331145&database=RX&origin=ReaxysOutput&ln=,(65 of 4000),,ammonia borane; borane-ammonia,BH3*H3N,BH3*H3N,30.8653,Coordination compound,,WZMUUWMLOCZETI-UHFFFAOYSA-N,,,,Identification(8); Physical Data(20); Spectra(10),67.0,103.0,110 - 112,,supporting information,,,,"Article; McLean, Euan B.; Gauchot, Vincent; Brunen, Sebastian; Burns, David J.; Lee, Ai-Lan; Chemical Communications; vol. 55; 29; (2019); p. 4238 - 4241;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D76477983&database=RX&origin=ReaxysOutput&ln=
,CN,741851.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D741851&database=RX&origin=ReaxysOutput&ln=,(68 of 4000),74-89-5,methylamine; Methanamine,NH2(CH3),CH5N,31.0574,acyclic,,BAVYZALUXZFZLV-UHFFFAOYSA-N,,,,Identification(1355); Physical Data(790); Spectra(196); Bioactivity(1526),41015.0,28255.0,-92,,,,,,Article; Talasek; Collection of Czechoslovak Chemical Communications; vol. 33; 3; (1968); p. 731;,https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D5193516&database=RX&origin=ReaxysOutput&ln=
,O=O,3587218.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D3587218&database=RX&origin=ReaxysOutput&ln=,(69 of 4000),80937-33-3,oxygen,O2,O2,31.9988,Isotope or isotope containing compound,,MYMOFIZGZYHOMD-UHFFFAOYSA-N,,,,Identification(11654); Physical Data(11245); Spectra(267); Bioactivity(2343),17884.0,44054.0,110 - 111,,Page/Page column 10,,,,Patent; WARF (in: University of Wisconsin); UNIVERSITY OF WISCONSIN SYSTEM; WO2006/57932; (2006); A2;,https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D8931759&database=RX&origin=ReaxysOutput&ln=
,CO,1098229.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D1098229&database=RX&origin=ReaxysOutput&ln=,(72 of 4000),67-56-1,methanol; methyl alcohol; MeOH,HOCH3,CH4O,32.0422,acyclic; Isotope or isotope containing compound,,OKKJLVBELUTLKV-UHFFFAOYSA-N,,,,Identification(28581); Physical Data(7163); Spectra(542); Bioactivity(8210),202332.0,151723.0,56 - 67,d(4)-methanol,,,,,Article; Mielcarek; Wiśniewska; Dołęga; Structural Chemistry; vol. 29; 4; (2018); p. 1189 - 1200;,https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D73519597&database=RX&origin=ReaxysOutput&ln=
,NN,878137.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D878137&database=RX&origin=ReaxysOutput&ln=,(73 of 4000),302-01-2,hydrazine,N(NH2)H2,H4N2,32.0452,Isotope or isotope containing compound,,OAKJQQAXSVQMHS-UHFFFAOYSA-N,,,,Identification(26195); Physical Data(223); Spectra(44); Bioactivity(1420),2343.0,28121.0,1,,,,,,"Article; Dresser, A. L.; Browne, A. W.; Mason, C. W.; Journal of the American Chemical Society; vol. 55; (1933); p. 1966;; ; Article; Gmelin Handbuch der Anorganischen Chemie; vol. NH4: MVol.2; 12, page 532 - 552;; ; Article; Putochin, N.; 16; (1923); p. 52;; ; Article; Gmelin Handbuch der Anorganischen Chemie; vol. N: MVol.2; 1.8, page 314 - 319; (from Gmelin)",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D7213163&database=RX&origin=ReaxysOutput&ln=
,C[15NH2],1900226.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D1900226&database=RX&origin=ReaxysOutput&ln=,(74 of 4000),1449-70-3,<15N>methylamine; (15)N-Methylamin; methylamine-15N; methylamine,CH5(15)N,CH5N,32.0507,acyclic; Isotope or isotope containing compound,,BAVYZALUXZFZLV-VQEHIDDOSA-N,,,,Identification(9); Physical Data(8); Spectra(11),8.0,18.0,-93.5,,,,,,Article; Alei; Jr. et al.; Journal of Physical Chemistry; vol. 75; (1971); p. 932;,https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D3984918&database=RX&origin=ReaxysOutput&ln=
