,SMILES,Chemical Name,Molecular Formula,Molecular Weight,Melting Point: Melting Point [C],Mol,heterocount,naivescaling,C,N,O,S
18,[H].O.[K].[H]O[H],potassium hydroxide hydrate,H2O*HKO,74.1209,147,<rdkit.Chem.rdchem.Mol object at 0x00000203EA91CB20>,"{'C': 0, 'N': 0, 'O': 2, 'S': 0}","{'C': 0, 'N': 0, 'O': 2.0, 'S': 0}",0.0,0.0,2.0,0.0
19,[H].O.[Na].[H]O[H],sodium hydroxide monohydrate,H2O*HNaO,58.0124,65,<rdkit.Chem.rdchem.Mol object at 0x00000203EA9130A0>,"{'C': 0, 'N': 0, 'O': 2, 'S': 0}","{'C': 0, 'N': 0, 'O': 2.0, 'S': 0}",0.0,0.0,2.0,0.0
20,O[Cl](=O)(=O)=O,perchloric acid,ClHO4,100.459,-112,<rdkit.Chem.rdchem.Mol object at 0x00000203EA7078E0>,"{'C': 0, 'N': 0, 'O': 4, 'S': 0}","{'C': 0, 'N': 0, 'O': 2.0, 'S': 0}",0.0,0.0,2.0,0.0
21,O.O=[Si]=O,silicon dioxide hydrate; silica hydrate,H2O*O2Si,78.0996,121 - 122,<rdkit.Chem.rdchem.Mol object at 0x00000203EA920760>,"{'C': 0, 'N': 0, 'O': 3, 'S': 0}","{'C': 0, 'N': 0, 'O': 2.0, 'S': 0}",0.0,0.0,2.0,0.0
22,O[14C](=O)[14C](O)=O,"(1,2-(14)C)Oxalic acid; [14C2]-oxalic acid; <1,2-14C2>Oxalsaeure; <14C>-Oxalsaeure",C2H2O4,94.0135,99,<rdkit.Chem.rdchem.Mol object at 0x00000203EA93B520>,"{'C': 2, 'N': 0, 'O': 4, 'S': 0}","{'C': 0.5, 'N': 0, 'O': 2.0, 'S': 0}",0.5,0.0,2.0,0.0
23,NO.ON(=O)=O,hydroxylamine nitrate,H4NO*NO3,96.0428,48,<rdkit.Chem.rdchem.Mol object at 0x00000203EA93FD60>,"{'C': 0, 'N': 2, 'O': 4, 'S': 0}","{'C': 0, 'N': 0.6666666666666667, 'O': 2.0, 'S': 0}",0.0,0.6666666666666667,2.0,0.0
24,O[13C](=O)[13C](O)=O,oxalic acid-13C; <(13)C2>-oxalic acid; oxalic acid-13C2,C2H2O4,92.0135,99 - 100,<rdkit.Chem.rdchem.Mol object at 0x00000203EA938280>,"{'C': 2, 'N': 0, 'O': 4, 'S': 0}","{'C': 0.5, 'N': 0, 'O': 2.0, 'S': 0}",0.5,0.0,2.0,0.0
25,[H]O[H].OC=O,water formic acid; formic acid monohydrate; formic acid ; hydrate; Ameisensaeure; Hydrat; formic acid water,CH2O2*H2O,64.041,-30.7,<rdkit.Chem.rdchem.Mol object at 0x00000203EA915E80>,"{'C': 1, 'N': 0, 'O': 3, 'S': 0}","{'C': 0.5, 'N': 0, 'O': 2.0, 'S': 0}",0.5,0.0,2.0,0.0
26,OS(O)(=O)=O,sulfuric acid; sulphuric acid,H2O4S,98.0795,115 - 119,<rdkit.Chem.rdchem.Mol object at 0x00000203EA6F69A0>,"{'C': 0, 'N': 0, 'O': 4, 'S': 1}","{'C': 0, 'N': 0, 'O': 2.0, 'S': -1.0}",0.0,0.0,2.0,-1.0
27,[H+].[O-]S([O-])(=O)=O,sulfuric acid; dihydrogen sulfate; sulphuric acid; hydrogen sulphate; hydrogen sulfate; Sulfate Hydrogen,2H*O4S,98.0795,230 - 233,<rdkit.Chem.rdchem.Mol object at 0x00000203EA6F6A00>,"{'C': 0, 'N': 0, 'O': 4, 'S': 1}","{'C': 0, 'N': 0, 'O': 2.0, 'S': -1.0}",0.0,0.0,2.0,-1.0
28,[Na+].OC([O-])=O,sodium hydrogencarbonate; NaHCO3; Sodium bicarbonate; aqueous NaHCO3; aqueous sodium bicarbonate; sodium hydrocarbonate; aqueous sodium hydrogencarbonate; Sodium hydrogenocarbonate; baking soda,CHNaO3,84.0069,71 - 74,<rdkit.Chem.rdchem.Mol object at 0x00000203EA926160>,"{'C': 1, 'N': 0, 'O': 3, 'S': 0}","{'C': 0.25, 'N': 0, 'O': 1.5, 'S': 0}",0.25,0.0,1.5,0.0
29,OCN(C=O)C=O,N-(hydroxymethyl)diformamide,C3H5NO3,103.078,91 - 93,<rdkit.Chem.rdchem.Mol object at 0x00000203EA7137C0>,"{'C': 3, 'N': 1, 'O': 3, 'S': 0}","{'C': 1.5, 'N': 0.0, 'O': 1.5, 'S': 0}",1.5,0.0,1.5,0.0
30,CN(=O)=CC(O)=O,(methylimino)acetic acid N-oxide,C3H5NO3,103.078,78,<rdkit.Chem.rdchem.Mol object at 0x00000203EA713700>,"{'C': 3, 'N': 1, 'O': 3, 'S': 0}","{'C': 1.5, 'N': 0.0, 'O': 1.5, 'S': 0}",1.5,0.0,1.5,0.0
31,CO.O=S=O,"methanol, sulphur dioxide",CH4O*O2S,96.107,-71,<rdkit.Chem.rdchem.Mol object at 0x00000203EA6F11C0>,"{'C': 1, 'N': 0, 'O': 3, 'S': 1}","{'C': 0.75, 'N': 0, 'O': 1.5, 'S': 0.0}",0.75,0.0,1.5,0.0
32,CS(O)(=O)=O,methanesulfonic acid; methanesulphonic acid,CH4O3S,96.107,17 - 19,<rdkit.Chem.rdchem.Mol object at 0x00000203EA6F1160>,"{'C': 1, 'N': 0, 'O': 3, 'S': 1}","{'C': 0.75, 'N': 0, 'O': 1.5, 'S': -1.0}",0.75,0.0,1.5,-1.0
33,N.ON(=O)=O,ammonium nitrate; NH4NO3,HNO3*H3N,80.0434,168,<rdkit.Chem.rdchem.Mol object at 0x00000203EA921D00>,"{'C': 0, 'N': 2, 'O': 3, 'S': 0}","{'C': 0, 'N': 1.0, 'O': 1.5, 'S': 0}",0.0,1.0,1.5,0.0
34,[H+].[Na+].[O-]C([O-])=O,sodium bicarbonate; sodium hydrogen carbonate; anhydrous sodium hydrogen carbonate,CO3*H*Na,84.0069,102 - 103,<rdkit.Chem.rdchem.Mol object at 0x00000203EA9261C0>,"{'C': 1, 'N': 0, 'O': 3, 'S': 0}","{'C': 0.25, 'N': 0, 'O': 1.5, 'S': 0}",0.25,0.0,1.5,0.0
35,OCC=CN(=O)=O,1-Nitro-propen-(1)-ol-(3); 3-nitro-prop-2-en-1-ol,C3H5NO3,103.078,70,<rdkit.Chem.rdchem.Mol object at 0x00000203EA7134C0>,"{'C': 3, 'N': 1, 'O': 3, 'S': 0}","{'C': 1.5, 'N': 0.0, 'O': 1.5, 'S': 0}",1.5,0.0,1.5,0.0
36,O.CC(C)=O,acetone - water; water acetone; acetone H2O,C3H6O*H2O,76.0953,184 - 186,<rdkit.Chem.rdchem.Mol object at 0x00000203EA91ECA0>,"{'C': 3, 'N': 0, 'O': 2, 'S': 0}","{'C': 1.75, 'N': 0, 'O': 1.5, 'S': 0}",1.75,0.0,1.5,0.0
37,ON=CCC(O)=O,formylacetic acid oxime; 3-hydroxyimino-propionic acid; 3-Hydroxyimino-propionsaeure,C3H5NO3,103.078,111 - 112,<rdkit.Chem.rdchem.Mol object at 0x00000203EA713460>,"{'C': 3, 'N': 1, 'O': 3, 'S': 0}","{'C': 1.25, 'N': 0.33333333333333337, 'O': 1.5, 'S': 0}",1.25,0.33333333333333337,1.5,0.0
38,OC(=O)CNC=O,formylglycine; N-formyl-glycine,C3H5NO3,103.078,148 - 152,<rdkit.Chem.rdchem.Mol object at 0x00000203EA713400>,"{'C': 3, 'N': 1, 'O': 3, 'S': 0}","{'C': 1.25, 'N': 0.33333333333333337, 'O': 1.5, 'S': 0}",1.25,0.33333333333333337,1.5,0.0
39,[Li+].[O]N(=O)=O,lithium nitrate; nitrate de lithium,Li*NO3,68.9459,250.84,<rdkit.Chem.rdchem.Mol object at 0x00000203EA917A60>,"{'C': 0, 'N': 1, 'O': 3, 'S': 0}","{'C': 0, 'N': 0.0, 'O': 1.5, 'S': 0}",0.0,0.0,1.5,0.0
40,CNC(=O)C(O)=O,2-(methylamino)-2-oxoacetic acid,C3H5NO3,103.078,150 - 151,<rdkit.Chem.rdchem.Mol object at 0x00000203EA713340>,"{'C': 3, 'N': 1, 'O': 3, 'S': 0}","{'C': 1.25, 'N': 0.33333333333333337, 'O': 1.5, 'S': 0}",1.25,0.33333333333333337,1.5,0.0
41,CC(=NO)C(O)=O,2-hydroxyiminopropanoic acid; pyruvic acid oxime,C3H5NO3,103.078,180 - 182,<rdkit.Chem.rdchem.Mol object at 0x00000203EA7132E0>,"{'C': 3, 'N': 1, 'O': 3, 'S': 0}","{'C': 1.25, 'N': 0.33333333333333337, 'O': 1.5, 'S': 0}",1.25,0.33333333333333337,1.5,0.0
42,O=CN(C=O)C=O,triformamide; Triformylamin; Triformamid,C3H3NO3,101.062,92 - 94,<rdkit.Chem.rdchem.Mol object at 0x00000203EA707E80>,"{'C': 3, 'N': 1, 'O': 3, 'S': 0}","{'C': 1.5, 'N': 0.0, 'O': 1.5, 'S': 0}",1.5,0.0,1.5,0.0
43,CC(=O)C(=O)NO,Pyruvicacidhydroxamat; Pyruvoylhydroxamsaeure; pyruvohydroxamic acid; Pyruvohydroxamsaeure,C3H5NO3,103.078,106,<rdkit.Chem.rdchem.Mol object at 0x00000203EA713220>,"{'C': 3, 'N': 1, 'O': 3, 'S': 0}","{'C': 1.25, 'N': 0.33333333333333337, 'O': 1.5, 'S': 0}",1.25,0.33333333333333337,1.5,0.0
44,C\C(=N/O)C(O)=O,2-oximinopropionic acid; 2-Oximino-propionsaeure; (E)-2-hydroxyimino-propionic acid; (E)-2-Hydroxyimino-propionsaeure; 2-oximinopropanoic acid; 2-hydroxyiminopropanoic acid,C3H5NO3,103.078,176,<rdkit.Chem.rdchem.Mol object at 0x00000203EA7131C0>,"{'C': 3, 'N': 1, 'O': 3, 'S': 0}","{'C': 1.25, 'N': 0.33333333333333337, 'O': 1.5, 'S': 0}",1.25,0.33333333333333337,1.5,0.0
45,NN.ON(=O)=O,hydrazine nitrate; hydrazinium nitrate; hydrazine mononitrate,H5N2*NO3,95.058,62.09,<rdkit.Chem.rdchem.Mol object at 0x00000203EA93DDC0>,"{'C': 0, 'N': 3, 'O': 3, 'S': 0}","{'C': 0, 'N': 1.3333333333333335, 'O': 1.5, 'S': 0}",0.0,1.3333333333333335,1.5,0.0
46,[H]N([H])[H].O=S(=O)=O,sulfur trioxide * ammonia; sulphamic acid,H3N*O3S,97.0947,204.85,<rdkit.Chem.rdchem.Mol object at 0x00000203EA6F4040>,"{'C': 0, 'N': 1, 'O': 3, 'S': 1}","{'C': 0, 'N': 1.0, 'O': 1.5, 'S': -0.5}",0.0,1.0,1.5,-0.5
47,OP(O)(F)=O,fluorophosphoric acid,FH2O3P,99.9862,-30,<rdkit.Chem.rdchem.Mol object at 0x00000203EA701580>,"{'C': 0, 'N': 0, 'O': 3, 'S': 0}","{'C': 0, 'N': 0, 'O': 1.5, 'S': 0}",0.0,0.0,1.5,0.0
48,[Na+].[K+].[O-]N(=O)=O,,0K*NO3*0Na,93.0489,221.84,<rdkit.Chem.rdchem.Mol object at 0x00000203EA93A100>,"{'C': 0, 'N': 1, 'O': 3, 'S': 0}","{'C': 0, 'N': 0.0, 'O': 1.5, 'S': 0}",0.0,0.0,1.5,0.0
49,OC(C=O)C=O,"2-hydroxymalonaldehyde; 2-hydroxy-3-oxopropionaldehyde; hydroxypropanedial; 2,3-dihydroxy-propenal; hydroxymalonaldehyde; 2-hydroxymalondialdehyde; Tartronaldehyd",C3H4O3,88.063,116,<rdkit.Chem.rdchem.Mol object at 0x00000203EA92FA60>,"{'C': 3, 'N': 0, 'O': 3, 'S': 0}","{'C': 1.25, 'N': 0, 'O': 1.5, 'S': 0}",1.25,0.0,1.5,0.0
