,SMILES,Chemical Name,Molecular Formula,Molecular Weight,Melting Point: Melting Point [C],Mol,heterocount,naivescaling,C,N,O,S
10,CNN.[H]N=N#N,methylhydrazinium azide,CH6N2*HN3,89.1001,68,<rdkit.Chem.rdchem.Mol object at 0x00000203EA933700>,"{'C': 1, 'N': 5, 'O': 0, 'S': 0}","{'C': 0.75, 'N': 2.666666666666667, 'O': 0, 'S': 0}",0.75,2.666666666666667,0.0,0.0
11,[S-]C#N.[H]N([H])[H].[H][N+]([H])([H])[H],,CNS*H3N*H4N,93.1527,-16,<rdkit.Chem.rdchem.Mol object at 0x00000203EA93AC40>,"{'C': 1, 'N': 3, 'O': 0, 'S': 1}","{'C': 0.5, 'N': 2.666666666666667, 'O': 0, 'S': 0.5}",0.5,2.666666666666667,0.0,0.5
12,NC(=N)C(N)=N,Dicyandiamid; oxalic acid diamidine; oxalamidine; Oxalamidin,C2H6N4,86.0964,210,<rdkit.Chem.rdchem.Mol object at 0x00000203EA92C2E0>,"{'C': 2, 'N': 4, 'O': 0, 'S': 0}","{'C': 0.5, 'N': 2.666666666666667, 'O': 0, 'S': 0}",0.5,2.666666666666667,0.0,0.0
13,NNC(=N)NC#N,,C2H5N5,99.0952,208 - 209,<rdkit.Chem.rdchem.Mol object at 0x00000203EA6FE6A0>,"{'C': 2, 'N': 5, 'O': 0, 'S': 0}","{'C': 0.75, 'N': 2.666666666666667, 'O': 0, 'S': 0}",0.75,2.666666666666667,0.0,0.0
14,[NH4+].[N-]=[N+]=[N-],ammonium azide; Ammonium-azid,H4N*N3,60.0586,160,<rdkit.Chem.rdchem.Mol object at 0x00000203EA914160>,"{'C': 0, 'N': 4, 'O': 0, 'S': 0}","{'C': 0, 'N': 2.666666666666667, 'O': 0, 'S': 0}",0.0,2.666666666666667,0.0,0.0
15,NC(=N)NC#N,N-Cyanoguanidine; cyanoguanidine; Dicyandiamide,C2H4N4,84.0806,210,<rdkit.Chem.rdchem.Mol object at 0x00000203EA927340>,"{'C': 2, 'N': 4, 'O': 0, 'S': 0}","{'C': 0.75, 'N': 2.333333333333334, 'O': 0, 'S': 0}",0.75,2.333333333333334,0.0,0.0
16,NC(=N)NC(N)=O,carbamimidoylurea; amidinourea,C2H6N4O,102.096,103 - 105,<rdkit.Chem.rdchem.Mol object at 0x00000203EA70F100>,"{'C': 2, 'N': 4, 'O': 1, 'S': 0}","{'C': 0.5, 'N': 2.333333333333334, 'O': 0.5, 'S': 0}",0.5,2.333333333333334,0.5,0.0
17,CCN.[H]N=N#N,ethylamine; azide; Aethylamin; Azid,C2H7N*HN3,88.1123,65,<rdkit.Chem.rdchem.Mol object at 0x00000203EA931580>,"{'C': 2, 'N': 4, 'O': 0, 'S': 0}","{'C': 1.25, 'N': 2.333333333333334, 'O': 0, 'S': 0}",1.25,2.333333333333334,0.0,0.0
18,N[14C](=N)N[14C]#N,<14C>-dicyanodiamide; 14C-markiertes Dicyandiamid; Dicyandiamid-<14C>; Cyanoguanidin-14C; [14C]cyano-[14C]guanidine; [14C]Cyan-[14C]guanidin; [14C]Dicyandiamid,C2H4N4,88.0586,208.5 - 209,<rdkit.Chem.rdchem.Mol object at 0x00000203EA92F7C0>,"{'C': 2, 'N': 4, 'O': 0, 'S': 0}","{'C': 0.75, 'N': 2.333333333333334, 'O': 0, 'S': 0}",0.75,2.333333333333334,0.0,0.0
19,NC(N)=NC(N)=O,1-carbamoylguanidine; carbamoyl guanidine; carbamimidoylurea,C2H6N4O,102.096,103 - 104,<rdkit.Chem.rdchem.Mol object at 0x00000203EA70F160>,"{'C': 2, 'N': 4, 'O': 1, 'S': 0}","{'C': 0.5, 'N': 2.333333333333334, 'O': 0.5, 'S': 0}",0.5,2.333333333333334,0.5,0.0
20,N#CC(C#N)=[N]#N,Dicyan-diazomethan; dicyanodiazomethane; Diazomethandicarbonitril,C3N4,92.0598,75,<rdkit.Chem.rdchem.Mol object at 0x00000203EA9385E0>,"{'C': 3, 'N': 4, 'O': 0, 'S': 0}","{'C': 1.25, 'N': 2.333333333333334, 'O': 0, 'S': 0}",1.25,2.333333333333334,0.0,0.0
21,NC(N)=NC#N,dicyandiamide; 2-cyanoguanidine; cyanoguanidine,C2H4N4,84.0806,210 - 211,<rdkit.Chem.rdchem.Mol object at 0x00000203EA9274C0>,"{'C': 2, 'N': 4, 'O': 0, 'S': 0}","{'C': 0.75, 'N': 2.333333333333334, 'O': 0, 'S': 0}",0.75,2.333333333333334,0.0,0.0
22,CN.[H]N=N#N,methyl ammonium azide; methylamine; azide; Methylamin; Azid,CH6N*N3,74.0854,140,<rdkit.Chem.rdchem.Mol object at 0x00000203EA91CA60>,"{'C': 1, 'N': 4, 'O': 0, 'S': 0}","{'C': 0.75, 'N': 2.333333333333334, 'O': 0, 'S': 0}",0.75,2.333333333333334,0.0,0.0
23,NNC1=NN=NN1,5-hydrazinotetrazole; 5-hydrazinyl-1H-tetrazole,CH4N6,100.083,192 - 194,<rdkit.Chem.rdchem.Mol object at 0x00000203EA702E80>,"{'C': 1, 'N': 6, 'O': 0, 'S': 0}","{'C': 0.25, 'N': 2.333333333333334, 'O': 0, 'S': 0}",0.25,2.333333333333334,0.0,0.0
24,NN1N=NN=C1N,"1,5-diaminotetrazole; DAT; 1,5-Diaminotetrazol; 1,5-diamino-1H-tetrazole; 1H-tetrazole-1,5-diamine",CH4N6,100.083,190,<rdkit.Chem.rdchem.Mol object at 0x00000203EA702EE0>,"{'C': 1, 'N': 6, 'O': 0, 'S': 0}","{'C': 0.25, 'N': 2.333333333333334, 'O': 0, 'S': 0}",0.25,2.333333333333334,0.0,0.0
25,[H]N=N#N.CNNC,"N,N'-dimethylhydrazinium azide",C2H8N2*HN3,103.127,-8,<rdkit.Chem.rdchem.Mol object at 0x00000203EA716040>,"{'C': 2, 'N': 5, 'O': 0, 'S': 0}","{'C': 1.5, 'N': 2.3333333333333335, 'O': 0, 'S': 0}",1.5,2.3333333333333335,0.0,0.0
26,NN=C(N)C#N,cyanoformamidrazone,C2H4N4,84.0806,83 - 85,<rdkit.Chem.rdchem.Mol object at 0x00000203EA927520>,"{'C': 2, 'N': 4, 'O': 0, 'S': 0}","{'C': 0.75, 'N': 2.3333333333333335, 'O': 0, 'S': 0}",0.75,2.3333333333333335,0.0,0.0
27,NNC(=N)C#N,1-Cyano-formimidsaeurehydrazid,C2H4N4,84.0806,83 - 86,<rdkit.Chem.rdchem.Mol object at 0x00000203EA927460>,"{'C': 2, 'N': 4, 'O': 0, 'S': 0}","{'C': 0.75, 'N': 2.3333333333333335, 'O': 0, 'S': 0}",0.75,2.3333333333333335,0.0,0.0
28,NNC(N)=N,aminoguanidine,CH6N4,74.0854,164,<rdkit.Chem.rdchem.Mol object at 0x00000203EA91CA00>,"{'C': 1, 'N': 4, 'O': 0, 'S': 0}","{'C': 0.25, 'N': 2.3333333333333335, 'O': 0, 'S': 0}",0.25,2.3333333333333335,0.0,0.0
29,NN1N=NC(N)=N1,"2,5-diaminotetrazole; 2,5-Amino-tetrazol; 2,5-Diamino-tetrazol; tetrazole-2,5-diamine",CH4N6,100.083,134,<rdkit.Chem.rdchem.Mol object at 0x00000203EA702F40>,"{'C': 1, 'N': 6, 'O': 0, 'S': 0}","{'C': 0.25, 'N': 2.3333333333333335, 'O': 0, 'S': 0}",0.25,2.3333333333333335,0.0,0.0
30,NC1=NC(N)=NN1,"guanazole; 3,5-diamino-1,2,4-triazole; 1H-1,2,4-triazole-3,5-diamine; 3,5-diamino-1H-1,2,4-triazole; 3,5-diaminotriazole; 1,2,4-triazole-3,5-diamine; DAT",C2H5N5,99.0952,249 - 251,<rdkit.Chem.rdchem.Mol object at 0x00000203EA6FE340>,"{'C': 2, 'N': 5, 'O': 0, 'S': 0}","{'C': 0.5, 'N': 2.3333333333333335, 'O': 0, 'S': 0}",0.5,2.3333333333333335,0.0,0.0
31,N=C1NNC(=N)N1,"Guanazol; 3,5-diimino-1,2,4-triazolidine; [1,2,4]triazolidine-3,5-diylidenediamine",C2H5N5,99.0952,211 - 212,<rdkit.Chem.rdchem.Mol object at 0x00000203EA6FE580>,"{'C': 2, 'N': 5, 'O': 0, 'S': 0}","{'C': 0.5, 'N': 2.3333333333333335, 'O': 0, 'S': 0}",0.5,2.3333333333333335,0.0,0.0
32,NN=C(C#N)C#N,Carbonylcyanidhydrazon,C3H2N4,94.0757,122 - 124,<rdkit.Chem.rdchem.Mol object at 0x00000203EA93BFA0>,"{'C': 3, 'N': 4, 'O': 0, 'S': 0}","{'C': 1.25, 'N': 2.3333333333333335, 'O': 0, 'S': 0}",1.25,2.3333333333333335,0.0,0.0
33,NN[14C](N)=N,<14C> aminoguanidine; <14C>Aminoguanidin-hydrogencarbonat,CH6N4,76.0744,175,<rdkit.Chem.rdchem.Mol object at 0x00000203EA91E820>,"{'C': 1, 'N': 4, 'O': 0, 'S': 0}","{'C': 0.25, 'N': 2.3333333333333335, 'O': 0, 'S': 0}",0.25,2.3333333333333335,0.0,0.0
34,NC1=NN=C(N)N1,"guanazole; 3,5-Diamino-1,2,4-triazole; 3,5-Diamino-1,2,4-triazol",C2H5N5,99.0952,205,<rdkit.Chem.rdchem.Mol object at 0x00000203EA6FE520>,"{'C': 2, 'N': 5, 'O': 0, 'S': 0}","{'C': 0.5, 'N': 2.3333333333333335, 'O': 0, 'S': 0}",0.5,2.3333333333333335,0.0,0.0
35,NC1=N[15N]=[15N]N1,"[2,3-15N2]-1H-5-aminotetrazole; [2,3-15N2]-5-aminotetrazole",CH3N5,87.0549,200,<rdkit.Chem.rdchem.Mol object at 0x00000203EA92D7C0>,"{'C': 1, 'N': 5, 'O': 0, 'S': 0}","{'C': 0.25, 'N': 2.0000000000000004, 'O': 0, 'S': 0}",0.25,2.0000000000000004,0.0,0.0
36,NC1=NN=CN=N1,"3-amino-s-tetrazine; 1,2,4,5-tetrazin-3-amine",C2H3N5,97.0793,176 - 178,<rdkit.Chem.rdchem.Mol object at 0x00000203EA6F3D60>,"{'C': 2, 'N': 5, 'O': 0, 'S': 0}","{'C': 0.75, 'N': 2.0000000000000004, 'O': 0, 'S': 0}",0.75,2.0000000000000004,0.0,0.0
37,NC1=NN=[15N]N1,[2-15N]-5-aminotetrazole,CH3N5,86.0616,200,<rdkit.Chem.rdchem.Mol object at 0x00000203EA92B0A0>,"{'C': 1, 'N': 5, 'O': 0, 'S': 0}","{'C': 0.25, 'N': 2.0000000000000004, 'O': 0, 'S': 0}",0.25,2.0000000000000004,0.0,0.0
38,NC1=NN=NN1,5-aminotetrazole,CH3N5,85.0683,212 - 214,<rdkit.Chem.rdchem.Mol object at 0x00000203EA929700>,"{'C': 1, 'N': 5, 'O': 0, 'S': 0}","{'C': 0.25, 'N': 2.0000000000000004, 'O': 0, 'S': 0}",0.25,2.0000000000000004,0.0,0.0
39,NC(=N)NN=O,nitrosoguanidine; Nitroso-guanidin; N-nitrosoguanidine,CH4N4O,88.069,164 - 165,<rdkit.Chem.rdchem.Mol object at 0x00000203EA930040>,"{'C': 1, 'N': 4, 'O': 1, 'S': 0}","{'C': 0.25, 'N': 2.0000000000000004, 'O': 0.5, 'S': 0}",0.25,2.0000000000000004,0.5,0.0
40,NC1=CC(N)=NN1,"1H-pyrazole-3,5-diamine; 3,5-Diamino-pyrazol; 3,5-diaminopyrazole",C3H6N4,98.1074,110,<rdkit.Chem.rdchem.Mol object at 0x00000203EA6F8EE0>,"{'C': 3, 'N': 4, 'O': 0, 'S': 0}","{'C': 1.0, 'N': 2.0000000000000004, 'O': 0, 'S': 0}",1.0,2.0000000000000004,0.0,0.0
41,CN.N1C=NN=N1,tetrazole methyl amine,CH2N4*CH5N,101.111,148 - 153,<rdkit.Chem.rdchem.Mol object at 0x00000203EA70A6A0>,"{'C': 2, 'N': 5, 'O': 0, 'S': 0}","{'C': 1.25, 'N': 2.0000000000000004, 'O': 0, 'S': 0}",1.25,2.0000000000000004,0.0,0.0
42,NC(N)=NN=O,Nitrosoguanidin,CH4N4O,88.069,160,<rdkit.Chem.rdchem.Mol object at 0x00000203EA9300A0>,"{'C': 1, 'N': 4, 'O': 1, 'S': 0}","{'C': 0.25, 'N': 2.0000000000000004, 'O': 0.5, 'S': 0}",0.25,2.0000000000000004,0.5,0.0
43,NCC1=NNN=N1,"(2H-tetrazol-5-yl)methylamine; 2H-1,2,3,4-tetrazol-5-ylmethanamine; (2H-tetrazol-5-yl)methanamine",C2H5N5,99.0952,274,<rdkit.Chem.rdchem.Mol object at 0x00000203EA6FE5E0>,"{'C': 2, 'N': 5, 'O': 0, 'S': 0}","{'C': 0.75, 'N': 2.0000000000000004, 'O': 0, 'S': 0}",0.75,2.0000000000000004,0.0,0.0
44,NNC1=NNC=N1,"3-Hydrazino-1,2,4-triazol; 3-hydrazino-1H-[1,2,4]triazole; (1H-[1,2,4]triazol-3-yl)-hydrazine; (1H-[1,2,4]Triazol-3-yl)-hydrazin",C2H5N5,99.0952,225,<rdkit.Chem.rdchem.Mol object at 0x00000203EA6FE2E0>,"{'C': 2, 'N': 5, 'O': 0, 'S': 0}","{'C': 0.75, 'N': 2.0000000000000004, 'O': 0, 'S': 0}",0.75,2.0000000000000004,0.0,0.0
45,N#CC1=NN=NN1,5-cyanotetrazole; 5-cyano-1H-tetrazole,C2HN5,95.0634,,<rdkit.Chem.rdchem.Mol object at 0x00000203EA93DEE0>,"{'C': 2, 'N': 5, 'O': 0, 'S': 0}","{'C': 0.75, 'N': 2.0000000000000004, 'O': 0, 'S': 0}",0.75,2.0000000000000004,0.0,0.0
46,N#[N]=C1C=NN=N1,"4-diazo-1,2,3-triazole; 4-Diazotriazol; 4-diazo-4H-[1,2,3]triazole",C2HN5,95.0634,125 - 126,<rdkit.Chem.rdchem.Mol object at 0x00000203EA93DF40>,"{'C': 2, 'N': 5, 'O': 0, 'S': 0}","{'C': 0.75, 'N': 2.0000000000000004, 'O': 0, 'S': 0}",0.75,2.0000000000000004,0.0,0.0
47,N#CC1=NNN=N1,5-cyanotetrazole,C2HN5,95.0634,94,<rdkit.Chem.rdchem.Mol object at 0x00000203EA93DFA0>,"{'C': 2, 'N': 5, 'O': 0, 'S': 0}","{'C': 0.75, 'N': 2.0000000000000004, 'O': 0, 'S': 0}",0.75,2.0000000000000004,0.0,0.0
48,NC(C#N)C(N)=O,2-Amino-2-cyanoacetamide; aminocyanoacetamide,C3H5N3O,99.0922,122 - 123,<rdkit.Chem.rdchem.Mol object at 0x00000203EA6FDA00>,"{'C': 3, 'N': 3, 'O': 1, 'S': 0}","{'C': 1.0, 'N': 2.0, 'O': 0.5, 'S': 0}",1.0,2.0,0.5,0.0
49,N=CC(C#N)C#N,iminomethyl-malononitrile,C4H3N3,93.0879,146,<rdkit.Chem.rdchem.Mol object at 0x00000203EA93A760>,"{'C': 4, 'N': 3, 'O': 0, 'S': 0}","{'C': 1.75, 'N': 2.0, 'O': 0, 'S': 0}",1.75,2.0,0.0,0.0
